year_film,film,tomatometer_rating,audience_rating,rt_release_month
2015,Bridge of Spies,91.0,,10
2015,Brooklyn,97.0,,11
2015,Mad Max: Fury Road,97.0,,5
2015,Room,93.0,,10
2015,Spotlight,97.0,,11
2015,The Big Short,89.0,,12
2015,The Martian,91.0,,10
2015,The Revenant,78.0,,12
2016,Arrival,94.0,,11
2016,Fences,92.0,,12
2016,Hacksaw Ridge,84.0,,11
2016,Hell or High Water,97.0,,8
2016,Hidden Figures,93.0,,12
2016,La La Land,91.0,,12
2016,Lion,84.0,,11
2016,Manchester by the Sea,96.0,,11
2016,Moonlight,98.0,,10
2017,Call Me by Your Name,95.0,,11
2017,Darkest Hour,84.0,,11
2017,Dunkirk,92.0,,7
2017,Get Out,98.0,,2
2017,Lady Bird,99.0,,11
2017,Phantom Thread,91.0,,12
2017,The Post,88.0,,12
2017,The Shape of Water,92.0,,12
2017,"Three Billboards outside Ebbing, Missouri",90.0,,11
2018,A Star Is Born,90.0,,10
2018,BlacKkKlansman,96.0,,8
2018,Black Panther,96.0,,2
2018,Bohemian Rhapsody,60.0,,11
2018,Green Book,77.0,,11
2018,Roma,96.0,,11
2018,The Favourite,93.0,,11
2018,Vice,64.0,,12
2019,1917,88.0,,12
2019,Ford v Ferrari,92.0,,11
2019,Jojo Rabbit,80.0,,10
2019,Joker,68.0,,10
2019,Little Women,95.0,,12
2019,Marriage Story,95.0,,11
2019,Once upon a Time...in Hollywood,86.0,,7
2019,Parasite,99.0,,11
2019,The Irishman,95.0,,11
2025,After the Hunt,37.0,,10
2025,Ballad of a Small Player,48.0,,10
2025,Blue Moon,90.0,,10
2025,Bugonia,,,10
2025,Frankenstein,85.0,,10
2025,Hamnet,87.0,,11
2025,It Was Just an Accident,98.0,,10
2025,Jay Kelly,75.0,,11
2025,Marty Supreme,93.0,,12
2025,No Other Choice,97.0,,9
2025,One Battle After Another,94.0,,9
2025,Sentimental Value,96.0,,11
2025,Sinners,97.0,,4
2025,The Secret Agent,98.0,,11
2025,Train Dreams,94.0,,11
2025,Wake Up Dead Man: A Knives Out Mystery,92.0,,11
2025,Wicked: For Good,66.0,,11
2026,People We Meet on Vacation,76.0,,1
2026,Project Hail Mary,94.0,,3
2026,The Bride!,57.0,,3
2026,The Rip,79.0,,1
2026,The Wrecking Crew,,,1
