year_film,name,film,globe_nom,globe_win
2020,Andra Day,The United States vs. Billie Holiday,1,1
2020,Viola Davis,Ma Rainey's Black Bottom,1,0
2020,Vanessa Kirby,Pieces of a Woman,1,0
2020,Frances McDormand,Nomadland,1,0
2020,Carey Mulligan,Promising Young Woman,1,0
2021,Nicole Kidman,Being the Ricardos,1,1
2021,Jessica Chastain,The Eyes of Tammy Faye,1,0
2021,Olivia Colman,The Lost Daughter,1,0
2021,Lady Gaga,House of Gucci,1,0
2021,Kristen Stewart,Spencer,1,0
2022,Cate Blanchett,Tár,1,1
2022,Olivia Colman,Empire of Light,1,0
2022,Viola Davis,The Woman King,1,0
2022,Ana de Armas,Blonde,1,0
2022,Michelle Williams,The Fabelmans,1,0
2023,Lily Gladstone,Killers of the Flower Moon,1,1
2023,Annette Bening,Nyad,1,0
2023,Carey Mulligan,Maestro,1,0
2023,Cailee Spaeny,Priscilla,1,0
2023,Sandra Hüller,Anatomy of a Fall,1,0
2024,Fernanda Torres,I'm Still Here,1,1
2024,Pamela Anderson,The Last Showgirl,1,0
2024,Angelina Jolie,Maria,1,0
2024,Nicole Kidman,Babygirl,1,0
2024,Tilda Swinton,The Room Next Door,1,0
2024,Kate Winslet,Lee,1,0
